001001 , 机票 , 查询机票 , fail , 2016-04-22 09:04:19
002002 , 邮轮 , 进入邮轮百科 , pass , 2016-04-22 09:04:55
002003 , 邮轮 , 特价限时抢购预订 , fail , 2016-04-22 09:06:14
002001 , 邮轮 , 查询邮轮 , pass , 2016-04-22 09:07:03
001001 , 机票 , 查询机票 , fail , 2016-04-22 09:33:07
001001 , 机票 , 查询机票 , fail , 2016-04-22 09:50:57
001001 , 机票 , 查询机票 , fail , 2016-04-22 09:55:50
001001 , 机票 , 查询机票 , fail , 2016-04-22 10:02:36
001001 , 机票 , 查询机票 , fail , 2016-04-22 10:21:35
001001 , 机票 , 查询机票 , fail , 2016-04-22 10:24:48
001001 , 机票 , 查询机票 , fail , 2016-04-22 10:28:18
001001 , 机票 , 查询机票 , fail , 2016-04-22 10:45:25
002002 , 邮轮 , 进入邮轮百科 , pass , 2016-04-22 10:45:56
002003 , 邮轮 , 特价限时抢购预订 , fail , 2016-04-22 10:47:04
002001 , 邮轮 , 查询邮轮 , pass , 2016-04-22 10:48:02
002003 , 邮轮 , 特价限时抢购预订 , FAIL , 2016-04-22 10:54:58
002003 , 邮轮 , 特价限时抢购预订 , FAIL , 2016-04-22 10:57:29
002003 , 邮轮 , 特价限时抢购预订 , FAIL , 2016-04-22 11:00:25
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 11:03:10
002001 , 邮轮 , 查询邮轮 , PASS , 2016-04-22 15:34:47
002003 , 邮轮 , 特价限时抢购预订 , FAIL , 2016-04-22 15:39:33
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 15:43:11
001001 , 机票 , 查询机票 , PASS , 2016-04-22 16:48:26
002002 , 邮轮 , 进入邮轮百科 , PASS , 2016-04-22 16:49:20
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 16:50:38
002001 , 邮轮 , 查询邮轮 , PASS , 2016-04-22 16:51:47
001001 , 机票 , 查询机票 , PASS , 2016-04-22 17:04:07
002002 , 邮轮 , 进入邮轮百科 , PASS , 2016-04-22 17:04:39
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 17:05:52
002001 , 邮轮 , 查询邮轮 , PASS , 2016-04-22 17:07:01
001001 , 机票 , 查询机票 , PASS , 2016-04-22 17:21:15
002002 , 邮轮 , 进入邮轮百科 , PASS , 2016-04-22 17:21:46
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 17:23:04
002002 , 邮轮 , 进入邮轮百科 , PASS , 2016-04-22 17:31:56
001001 , 机票 , 查询机票 , PASS , 2016-04-22 17:34:22
002002 , 邮轮 , 进入邮轮百科 , PASS , 2016-04-22 17:34:54
002003 , 邮轮 , 特价限时抢购预订 , PASS , 2016-04-22 17:36:08
002001 , 邮轮 , 查询邮轮 , PASS , 2016-04-22 17:36:52
